Chemical,Conc,Replicate,Ecotype,Root_calc,Shoot_calc
BC,20ppm,2,CE,1.112301587,0.804100529
BC,20ppm,2,CO,-0.237513935,-0.89754738
BC,20ppm,2,SW,0.269444444,-2.351111111
BC,20ppm,2,WE,-0.022537879,0.208712121
BC,20ppm,3,CE,-0.524819625,-0.004232804
BC,20ppm,3,CO,-1.195206243,-0.615496098
BC,20ppm,3,SW,-1.411111111,-1.362222222
BC,20ppm,3,WE,-0.687609649,-0.482675439
BC,40ppm,1,CE,0.231658497,-1.071623094
BC,40ppm,1,CO,0.214607656,-0.439945774
BC,40ppm,1,SW,0.573270248,-0.90960521
BC,40ppm,1,WE,-0.299214976,-0.606642512
BC,40ppm,2,CE,0.077876984,-0.472883598
BC,40ppm,2,CO,0.49715311,-0.223763955
BC,40ppm,2,SW,0.507116402,-1.258835979
BC,40ppm,2,WE,0.275277778,-0.200555556
BC,40ppm,3,CE,0.012941919,-0.302104377
BC,40ppm,3,CO,0.127607656,1.018054226
BC,40ppm,3,SW,-0.312883598,-0.298835979
BC,40ppm,3,WE,0.102777778,-0.534722222
BC,80ppm,1,CE,0.596428571,1.885141941
BC,80ppm,1,CO,1.275409357,0.16622807
BC,80ppm,1,SW,0.071851852,-0.316111111
BC,80ppm,1,WE,0.615972222,-0.129166667
BC,80ppm,2,CE,0.458333333,1.523237179
BC,80ppm,2,CO,1.130964912,0.040037594
BC,80ppm,2,SW,-0.523148148,0.813888889
BC,80ppm,2,WE,-1.107361111,-0.5275
BC,80ppm,3,CE,0.966666667,1.914903846
BC,80ppm,3,CO,1.523822055,0.547180451
BC,80ppm,3,SW,-0.223148148,1.013888889
BC,80ppm,3,WE,-0.654027778,-0.040833333
C,20ppm,1,CE,0.020952381,-1.472619048
C,20ppm,1,CO,0.318054007,-0.469738635
C,20ppm,1,SW,0.95968254,-0.147142857
C,20ppm,1,WE,0.944267399,1.198235653
C,20ppm,2,CE,0.194285714,-0.382422969
C,20ppm,2,CO,-0.274055494,-1.047516413
C,20ppm,2,SW,0.401349206,-0.45547619
C,20ppm,2,WE,0.261190476,0.14515873
C,20ppm,3,CE,-0.155714286,-0.143452381
C,20ppm,3,CO,-0.16035179,-0.673071968
C,20ppm,3,SW,0.567374847,0.099010989
C,20ppm,3,WE,-0.41452381,-1.017698413
C,40ppm,1,CE,-0.466087344,-0.508333333
C,40ppm,1,CO,0.428730159,0.863174603
C,40ppm,1,SW,0.725505051,0.938888889
C,40ppm,1,WE,0.42271167,0.588491609
C,40ppm,2,CE,-0.693651447,-0.879487179
C,40ppm,2,CO,0.561361738,0.970279866
C,40ppm,2,SW,0.175505051,-0.921111111
C,40ppm,2,WE,1.034378337,1.860991609
C,40ppm,3,CE,-1.278266831,-1.287179487
C,40ppm,3,CO,0.066624896,0.501858814
C,40ppm,3,SW,-0.224494949,-1.431111111
C,40ppm,3,WE,0.644378337,1.320991609
C,80ppm,1,CE,1.980100733,1.215265568
C,80ppm,1,CO,0.280467572,0.277978884
C,80ppm,1,SW,0.58015873,1.709920635
C,80ppm,1,WE,1.686239316,0.672435897
C,80ppm,2,CE,2.228434066,0.955265568
C,80ppm,2,CO,2.078159879,-0.366636501
C,80ppm,2,SW,1.03015873,0.051587302
C,80ppm,2,WE,0.696239316,-0.064230769
C,80ppm,3,CE,0.395100733,0.030265568
C,80ppm,3,CO,-0.245173454,-0.348303167
C,80ppm,3,SW,-0.69484127,-0.440079365
C,80ppm,3,WE,0.386239316,-0.407564103
